,State,RegionName
265,New Jersey,"Madison (Drew University), (Fairleigh Dickinson University), (College of Saint Elizabeth)"
266,New Jersey,"Newark (Rutgers University), (New Jersey Institute of Technology), (UMDNJ)"
267,New Jersey,New Brunswick (Rutgers University)[5]
268,New Jersey,Princeton (Princeton University)[5]
269,New Jersey,Union (Kean University)
270,New Jersey,West Long Branch (Monmouth University)
271,New Mexico,Hobbs (University of the Southwest)[2]
272,New Mexico,Las Cruces (New Mexico State University)[2]
273,New Mexico,Las Vegas (New Mexico Highlands University)[2]
274,New Mexico,Portales (Eastern New Mexico University)[2]
275,New Mexico,Silver City (Western New Mexico University)[2]
276,New York,"Alfred (Alfred University, Alfred State College)[2]"
277,New York,"Albany (SUNY Albany, Siena College, Albany College of Pharmacy, Albany Law School, Albany Medical College, College of Saint Rose, Excelsior College, Maria College of Albany, Mildred Elley, Sage College of Albany)"
278,New York,Aurora (Wells College)[21]
279,New York,Binghamton (Binghamton University)[2]
280,New York,Brockport (SUNY Brockport)[5]
281,New York,Buffalo (University at Buffalo)
282,New York,"Canton (St. Lawrence University, SUNY Canton)[2]"
283,New York,Clinton (Hamilton College)[2]
284,New York,Cobleskill (SUNY Cobleskill)[2]
285,New York,Delhi (SUNY Delhi)[2]
286,New York,Fredonia (SUNY Fredonia)[2]
287,New York,Geneseo (SUNY Geneseo)[2]
288,New York,Geneva (Hobart and William Smith Colleges)
289,New York,Hamilton (Colgate University)[2]
290,New York,"Ithaca (Cornell University, Ithaca College)[1]"
291,New York,"Morningside Heights, Manhattan (Columbia University, Barnard College, Teachers College, Manhattan School of Music, Jewish Theological Seminary, Union Theological Seminary, Bank Street College of Education)"
292,New York,New Paltz (SUNY New Paltz)[2]
293,New York,"Oneonta (SUNY Oneonta, Hartwick College)[2]"
294,New York,Oswego (SUNY Oswego)[2]
295,New York,Plattsburgh (SUNY Plattsburgh)[2]
296,New York,"Potsdam (SUNY Potsdam, Clarkson University)[2]"
297,New York,"Poughkeepsie (Vassar College, Marist College)[2]"
298,New York,"Purchase (Purchase College, Manhattanville College)[2]"
299,New York,"Rochester (University of Rochester, Rochester Institute of Technology, Nazareth College, St. John Fisher College, Monroe Community College, Roberts Wesleyan College, SUNY Brockport, SUNY Empire State College)[2]"
300,New York,Saratoga Springs (Skidmore College)[2]
301,New York,Seneca Falls (New York Chiropractic College)
302,New York,Stony Brook (Stony Brook University)
303,New York,"Syracuse (Syracuse University, SUNY ESF, Upstate Medical University)"
304,New York,Tivoli (Bard College)
305,New York,"Troy (Rensselaer Polytechnic Institute, Russell Sage College, Hudson Valley Community College)"
306,New York,West Point (United States Military Academy)
307,North Carolina,Banner Elk (Lees-McRae College)
308,North Carolina,Boiling Springs (Gardner-Webb University)[2]
309,North Carolina,Boone (Appalachian State University)[2]
310,North Carolina,Buies Creek (Campbell University)[2]
311,North Carolina,Chapel Hill (University of North Carolina at Chapel Hill)[20]
312,North Carolina,Cullowhee (Western Carolina University)[2]
313,North Carolina,Davidson (Davidson College)[5]
314,North Carolina,"Durham (Duke University, North Carolina Central University)[5]"
315,North Carolina,Elon (Elon University)[2]
316,North Carolina,"Greensboro (University of North Carolina at Greensboro, Greensboro College, Guilford College, North Carolina A & T State University, Bennett College)"
317,North Carolina,Greenville (East Carolina University)[2]
318,North Carolina,Hickory (Lenoir-Rhyne University)[2]
319,North Carolina,Mars Hill (Mars Hill College)[2]
320,North Carolina,Mount Olive (Mount Olive College)[2]
321,North Carolina,Pembroke (University of North Carolina at Pembroke)[2]
322,North Carolina,"Wilmington, North Carolina (University of North Carolina at Wilmington)"
323,North Carolina,Wingate (Wingate University)[2]
324,North Carolina,"Winston-Salem (Wake Forest University, University of North Carolina School of the Arts, Salem College, Winston-Salem State University)"
325,North Dakota,Fargo (North Dakota State University)[18]
326,North Dakota,Grand Forks (University of North Dakota)[5]
327,Ohio,Ada (Ohio Northern University)[2]
328,Ohio,Alliance (University of Mount Union)
329,Ohio,Ashland (Ashland University)[2]
330,Ohio,Athens (Ohio University)[2]
331,Ohio,Berea (Baldwin Wallace College)
332,Ohio,Bluffton (Bluffton University)[2]
333,Ohio,Bowling Green (Bowling Green State University)[2]
334,Ohio,Cedarville (Cedarville University)[2]
335,Ohio,Columbus (Ohio State University)
336,Ohio,Delaware (Ohio Wesleyan University)
337,Ohio,Fairborn (Wright State University)
338,Ohio,Findlay (University of Findlay)
339,Ohio,Gambier (Kenyon College)[2]
340,Ohio,Granville (Denison University)[2]
341,Ohio,Hiram (Hiram College)[2]
342,Ohio,Kent (Kent State University)[2]
343,Ohio,Nelsonville (Hocking College)[2]
344,Ohio,New Concord (Muskingum College)[2]
345,Ohio,Oberlin (Oberlin College)[5]
346,Ohio,Oxford (Miami University)[5]
347,Ohio,Rio Grande (University of Rio Grande)[2]
348,Ohio,"Wilberforce (Wilberforce University, Central State University)[2]"
349,Oklahoma,Ada (East Central University)[2]
350,Oklahoma,Alva (Northwestern Oklahoma State University)[2]
351,Oklahoma,Durant (Southeastern Oklahoma State University)[2]
352,Oklahoma,"Edmond (University of Central Oklahoma, Oklahoma Christian University)[2]"
353,Oklahoma,Goodwell (Oklahoma Panhandle State University)[2]
354,Oklahoma,Langston (Langston University)[5]
355,Oklahoma,Norman (University of Oklahoma)[1]
356,Oklahoma,Stillwater (Oklahoma State University)[5]
357,Oklahoma,Tahlequah (Northeastern State University)[2]
358,Oklahoma,Tulsa (The University of Tulsa)
359,Oklahoma,Weatherford (Southwestern Oklahoma State University)
360,Oregon,Ashland (Southern Oregon University)[2]
361,Oregon,Corvallis (Oregon State University)[20]
362,Oregon,"Eugene (Lane Community College, Northwest Christian University, University of Oregon)[20]"
363,Oregon,Forest Grove (Pacific University)
364,Oregon,"Klamath Falls (Klamath Community College, Oregon Institute of Technology)"
365,Oregon,La Grande (Eastern Oregon University)[2]
366,Oregon,Marylhurst (Marylhurst University)
367,Oregon,McMinnville (Linfield College)
368,Oregon,Monmouth (Western Oregon University)[2]
369,Oregon,Newberg (George Fox University)
370,Pennsylvania,Altoona (Penn State Altoona)
371,Pennsylvania,Annville (Lebanon Valley College)[2]
372,Pennsylvania,"Bethlehem (Lehigh University, Moravian College)"
373,Pennsylvania,Bloomsburg (Bloomsburg University of Pennsylvania)[2]
374,Pennsylvania,Bradford (University of Pittsburgh at Bradford)
375,Pennsylvania,California (California University of Pennsylvania)[2]
376,Pennsylvania,Carlisle (Dickinson College)
377,Pennsylvania,"Cecil B. Moore, Philadelphia, also known as ""Templetown"" (Temple University)"
378,Pennsylvania,Clarion (Clarion University of Pennsylvania)[2]
379,Pennsylvania,Collegeville (Ursinus College)
380,Pennsylvania,Cresson (Mount Aloysius College)[2]
381,Pennsylvania,East Stroudsburg (East Stroudsburg University of Pennsylvania)[2]
382,Pennsylvania,Edinboro (Edinboro University of Pennsylvania)[2]
383,Pennsylvania,"Erie (Gannon University, Mercyhurst College, Penn State Erie)"
384,Pennsylvania,Gettysburg (Gettysburg College)[2]
385,Pennsylvania,"Greensburg (Seton Hill University, University of Pittsburgh at Greensburg)"
386,Pennsylvania,Grove City (Grove City College)[2]
387,Pennsylvania,Huntingdon (Juniata College)[2]
388,Pennsylvania,Indiana (Indiana University of Pennsylvania)[2]
389,Pennsylvania,Johnstown (University of Pittsburgh at Johnstown)
390,Pennsylvania,Kutztown (Kutztown University of Pennsylvania)[2]
391,Pennsylvania,Lancaster (Franklin & Marshall)
392,Pennsylvania,Lewisburg (Bucknell University)[5]
393,Pennsylvania,Lock Haven (Lock Haven University of Pennsylvania)[2]
394,Pennsylvania,Loretto (St. Francis University)[2]
395,Pennsylvania,Mansfield (Mansfield University of Pennsylvania)[2]
396,Pennsylvania,Meadville (Allegheny College)
397,Pennsylvania,Mont Alto (Penn State Mont Alto)
398,Pennsylvania,Millersville (Millersville University of Pennsylvania)[2]
399,Pennsylvania,New Wilmington (Westminster College)[2]
400,Pennsylvania,North East (Mercyhurst North East)
401,Pennsylvania,"University City, Philadelphia (Drexel University, University of Pennsylvania, University of the Sciences in Philadelphia)"
402,Pennsylvania,"Oakland, Pittsburgh (Carnegie Mellon University, University of Pittsburgh, Carlow University)"
403,Pennsylvania,"Reading (Albright College, Alvernia University, Penn State Berks)"
404,Pennsylvania,Selinsgrove (Susquehanna University)[2]
405,Pennsylvania,Shippensburg (Shippensburg University of Pennsylvania)[2]
406,Pennsylvania,Slippery Rock (Slippery Rock University of Pennsylvania)[2]
407,Pennsylvania,State College (Pennsylvania State University)[22]
408,Pennsylvania,Villanova (Villanova University)
409,Pennsylvania,Waynesburg (Waynesburg University)
410,Pennsylvania,West Chester (West Chester University of Pennsylvania)
411,Pennsylvania,"Wilkes-Barre (King's College, Wilkes University)"
412,Pennsylvania,"Williamsport (Lycoming College, Pennsylvania College of Technology)[2]"
413,Rhode Island,Kingston (University of Rhode Island)[2]
414,Rhode Island,"Providence (Brown University, (University of Rhode Island), Rhode Island School of Design, Johnson and Wales University, Providence College, Community College of Rhode Island, Rhode Island College, and Roger Williams University.)"
415,South Carolina,Central (Southern Wesleyan University)[2]
416,South Carolina,"Charleston (College of Charleston, The Citadel, MUSC)"
417,South Carolina,Clemson (Clemson University)[2]
418,South Carolina,Clinton (Presbyterian College)
419,South Carolina,Columbia (University of South Carolina)[14]
420,South Carolina,Due West (Erskine College)
421,South Carolina,Florence (Francis Marion University)
422,South Carolina,Greenwood (Lander University)
423,South Carolina,"Orangeburg (South Carolina State University, Claflin University)[2]"
424,South Carolina,Rock Hill (Winthrop University)
425,South Carolina,"Spartanburg (Wofford College, Converse College, University of South Carolina Upstate, Spartanburg Methodist College, Edward Via College of Osteopathic Medicine, Spartanburg Community College, Virginia College, Sherman College of Chiropractic)"
426,South Dakota,Brookings (South Dakota State University)[2]
427,South Dakota,Madison (Dakota State University)
428,South Dakota,Spearfish (Black Hills State University)
429,South Dakota,Vermillion (University of South Dakota)[5]
430,Tennessee,Chattanooga (University of Tennessee at Chattanooga)
431,Tennessee,Collegedale (Southern Adventist University)
432,Tennessee,Cookeville (Tennessee Technological University)[2]
433,Tennessee,Harrogate (Lincoln Memorial University)[2]
434,Tennessee,Henderson (Freed-Hardeman University)[2]
435,Tennessee,Johnson City (East Tennessee State University)
436,Tennessee,Knoxville (University of Tennessee)
437,Tennessee,Martin (University of Tennessee at Martin)[2]
438,Tennessee,McKenzie (Bethel University)[2]
439,Tennessee,"Memphis (Christian Brothers University, LeMoyne-Owen College, Memphis College of Art, Memphis Theological Seminary, Rhodes College, Southern College of Optometry, Southwest Tennessee Community College, University of Memphis, University of Tennessee Health Science Center, Visible Music College)"
440,Tennessee,Murfreesboro (Middle Tennessee State University)[2]
441,Tennessee,"Nashville (Vanderbilt University, Belmont University, Tennessee State University, Lipscomb University, Fisk University, Aquinas College, Trevecca Nazarene University)"
442,Tennessee,Sewanee (Sewanee: the University of the South)[2]
443,Texas,"Abilene (Abilene Christian University, Hardin-Simmons University, McMurry University)"
444,Texas,Alpine (Sul Ross State University)[2]
445,Texas,"Austin (University of Texas at Austin, St. Edwards University, Huston-Tillotson University)[2]"
446,Texas,Beaumont (Lamar University)
447,Texas,Canyon (West Texas A&M University)[2]
448,Texas,College Station (Texas A&M University)[5]
449,Texas,Commerce (Texas A&M University–Commerce)[2]
450,Texas,Dallas (Southern Methodist University)
451,Texas,"Denton (University of North Texas, Texas Woman's University)[2]"
452,Texas,"Fort Worth (Texas Christian University, Texas Wesleyan University)"
453,Texas,Georgetown (Southwestern University)
454,Texas,Huntsville (Sam Houston State University)[2]
455,Texas,"Houston (University of Houston, Texas Southern University, Rice University, Houston Baptist University)"
456,Texas,Keene (Southwestern Adventist University)[2]
457,Texas,Kingsville (Texas A&M University–Kingsville)[2]
458,Texas,"Lubbock (Texas Tech University, Lubbock Christian University)"
459,Texas,Nacogdoches (Stephen F. Austin State University)[2]
460,Texas,Plainview (Wayland Baptist University)[2]
461,Texas,Prairie View (Prairie View A&M University)[2]
462,Texas,San Marcos (Texas State University)[5]
463,Texas,Stephenville (Tarleton State University)[2]
464,Texas,Waco (Baylor University)
465,Utah,Cedar City (Southern Utah University)[2]
466,Utah,Logan (Utah State University)[2]
467,Utah,Provo (Brigham Young University)[5]
468,Utah,Orem (Utah Valley University)
469,Utah,Salt Lake City (University of Utah)
470,Utah,Ephraim (Snow College)
471,Vermont,"Burlington (University of Vermont, Champlain College and Saint Michael's College)[2]"
472,Vermont,Castleton (Castleton State College)[2]
473,Vermont,Johnson (Johnson State College)[2]
474,Vermont,Lyndonville (Lyndon State College)[2]
475,Vermont,Middlebury (Middlebury College)[2]
476,Vermont,Northfield (Norwich University)[2]
477,Virginia,Blacksburg (Virginia Polytechnic Institute and State University)[5]
478,Virginia,Bridgewater (Bridgewater College)[2]
479,Virginia,Charlottesville (University of Virginia)[23]
480,Virginia,"Farmville (Longwood University, Hampden-Sydney College)[2]"
481,Virginia,Fredericksburg (University of Mary Washington)[2]
482,Virginia,"Harrisonburg (James Madison University, Eastern Mennonite University)[2]"
483,Virginia,"Lexington (Washington and Lee University, Virginia Military Institute)[2]"
484,Virginia,"Lynchburg (Lynchburg College, Randolph College, Liberty University, Central Virginia Community College)"
485,Virginia,Radford (Radford University)[2]
486,Virginia,Williamsburg (The College of William & Mary)[2]
487,Virginia,Wise (University of Virginia's College at Wise)[2]
488,Virginia,"Chesapeake (Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University)[2]"
489,Washington,Bellingham (Western Washington University)
490,Washington,Cheney (Eastern Washington University)[2]
491,Washington,Ellensburg (Central Washington University)[5]
492,Washington,Pullman (Washington State University)[5]
493,Washington,"University District, Seattle (University of Washington)[5]"
494,West Virginia,Athens (Concord University)[2]
495,West Virginia,Buckhannon (West Virginia Wesleyan College)[2]
496,West Virginia,Fairmont (Fairmont State University)[2]
497,West Virginia,Glenville (Glenville State College)[2]
498,West Virginia,Huntington (Marshall University)[2]
499,West Virginia,Montgomery (West Virginia University Institute of Technology)[2]
500,West Virginia,Morgantown (West Virginia University)[2]
501,West Virginia,Shepherdstown (Shepherd University)[2]
502,West Virginia,West Liberty (West Liberty University)[2]
503,Wisconsin,Appleton (Lawrence University)
504,Wisconsin,Eau Claire (University of Wisconsin–Eau Claire)
505,Wisconsin,Green Bay (University of Wisconsin-Green Bay)
506,Wisconsin,"La Crosse (University of Wisconsin–La Crosse, Western Technical College, Viterbo University)[2]"
507,Wisconsin,Madison (University of Wisconsin–Madison)[2]
508,Wisconsin,Menomonie (University of Wisconsin–Stout)[2]
509,Wisconsin,"Milwaukee (Marquette University, University of Wisconsin–Milwaukee)"
510,Wisconsin,Oshkosh (University of Wisconsin–Oshkosh)
511,Wisconsin,Platteville (University of Wisconsin–Platteville)[2]
512,Wisconsin,River Falls (University of Wisconsin–River Falls)[2]
513,Wisconsin,Stevens Point (University of Wisconsin–Stevens Point)[2]
514,Wisconsin,Waukesha (Carroll University)
515,Wisconsin,Whitewater (University of Wisconsin–Whitewater)[2]
516,Wyoming,Laramie (University of Wyoming)[5]
